Quotazioni Immobiliari : Informazioni di Zona OMI - Semestre 2005/1 - elaborazione del 16-MAG-24
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona_Descr;Zona;LinkZona;Cod_tip_prev;Descr_tip_prev;Stato_prev;Microzona;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;B;'MICROZONA N. 3 - CENTRO URBANO';B1;AL00000001;20;Abitazioni civili;N;3;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;C;'MICROZONA N. 4 - ZONA DI ESPANSIONE';C1;AL00000003;20;Abitazioni civili;N;4;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;D;'MICROZONA N 11 - ZONA AGRICOLA OVEST PROV.LE AL-SALE';D1;AL00000005;1;Ville e Villini;N;11;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;D;'MICROZONA N. 2 - SOBBORGO SAN MICHELE';D2;AL00000006;20;Abitazioni civili;N;2;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;D;'MICROZONA N. 5 - SOBB. CASALBAGLIANO-CABANETTE- CANTALUPO';D3;AL00003420;20;Abitazioni civili;N;5;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;D;'MICROZONA N. 6 - SOBBORGO VILLA DEL FORO';D4;AL00003421;20;Abitazioni civili;N;6;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;E;'MICROZONA N. 11 - ZONA AGRICOLA EST PROV.LE AL-SALE';E1;AL00003422;1;Ville e Villini;N;11;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;E;'MICROZONA N. 7 - SOBBORGO CASTELCERIOLO';E2;AL00003423;20;Abitazioni civili;N;7;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;E;'MICROZONA N. 8 - SOBBORGO LOBBI';E3;AL00003424;20;Abitazioni civili;N;8;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;E;'MICROZONA N. 9 - SOBBORGO SPINETTA MARENGO';E4;AL00003425;20;Abitazioni civili;N;9;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;E;'MICROZONA N. 10 - SOBB. LITTA PARODI-MANDROGNE-SAN GIULIANO';E5;AL00003426;1;Ville e Villini;N;10;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;E;'MICROZONA N. 12 - ZONA AGRICOLA CONFINE BOSCO MARENGO';E6;AL00003427;1;Ville e Villini;N;12;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;E;'MICROZONA N. 1 - VALLE S. BARTOLOMEO-VALMADONNA (EX A1)';E7;AL00004137;1;Ville e Villini;N;1;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;R;'ZONA AGRICOLA';R1;AL00004158;101;Seminativo;;11;
NORD-OVEST;PIEMONTE;AL;1006001;A2AB; ;A052;ACQUI TERME;B;'MICROZONA 5 - CENTRO STORICO';B1;AL00000063;20;Abitazioni civili;N;5;
NORD-OVEST;PIEMONTE;AL;1006001;A2AB; ;A052;ACQUI TERME;D;'MICROZONA 4 - ZONA DI ESPANSIONE E COLLINARE';D1;AL00004416;20;Abitazioni civili;N;4;
NORD-OVEST;PIEMONTE;AL;1006001;A2AB; ;A052;ACQUI TERME;E;'MICROZONA 6 BAGNI-LUSSITO-OVRANO';E1;AL00003344;20;Abitazioni civili;N;6;
NORD-OVEST;PIEMONTE;AL;1006001;A2AB; ;A052;ACQUI TERME;E;'MICROZONA 3 -OSPEDALE- CIMITERO';E2;AL00003345;20;Abitazioni civili;N;3;
NORD-OVEST;PIEMONTE;AL;1006001;A2AB; ;A052;ACQUI TERME;E;'MICROZONA 1 -ZONA AGRICOLA';E3;AL00003346;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006001;A2AB; ;A052;ACQUI TERME;E;'MICROZONA 2 -FRAZIONE MOIRANO';E4;AL00003347;20;Abitazioni civili;N;2;
NORD-OVEST;PIEMONTE;AL;1006001;A2AB; ;A052;ACQUI TERME;R;'ZONA AGRICOLA';R1;AL00004156;129;Vigneto;;1;
NORD-OVEST;PIEMONTE;AL;1006002;A2AC; ;A146;ALBERA LIGURE;B;'MICROZONA N. 1 - CENTRO URBANO';B1;AL00002918;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006002;A2AC; ;A146;ALBERA LIGURE;D;'MICROZONA N. 1 - ZONA AGRICOLA E ZONA DI ESPANSIONE';D1;AL00000098;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006002;A2AC; ;A146;ALBERA LIGURE;R;'ZONA AGRICOLA';R1;AL00004157;101;Seminativo;;1;
NORD-OVEST;PIEMONTE;AL;1006004;A2AD; ;A189;ALFIANO NATTA;B;'MICROZONA N. 1 - CENTRO URBANO';B1;AL00002919;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006004;A2AD; ;A189;ALFIANO NATTA;D;'MICROZONA N. 1 - ZONA AGRICOLA E ZONA DI ESPANSIONE';D1;AL00000111;1;Ville e Villini;N;1;
NORD-OVEST;PIEMONTE;AL;1006004;A2AD; ;A189;ALFIANO NATTA;R;'ZONA AGRICOLA';R1;AL00004159;129;Vigneto;;1;
NORD-OVEST;PIEMONTE;AL;1006005;A2AE; ;A197;ALICE BEL COLLE;B;'MICROZONA N. 1 - CENTRO URBANO';B1;AL00003674;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006005;A2AE; ;A197;ALICE BEL COLLE;D;'MICROZONA N. 1 - ZONA AGRICOLA E ZONA DI ESPANSIONE';D1;AL00000124;1;Ville e Villini;N;1;
NORD-OVEST;PIEMONTE;AL;1006005;A2AE; ;A197;ALICE BEL COLLE;R;'ZONA AGRICOLA';R1;AL00004160;129;Vigneto;;1;
NORD-OVEST;PIEMONTE;AL;1006006;A2AF; ;A211;ALLUVIONI CAMBIO`;B;'MICROZONA N. 1 - CENTRO URBANO E ZONA DI ESPANSIONE';B1;AL00000141;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006006;A2AF; ;A211;ALLUVIONI CAMBIO`;D;'MICROZONA N. 1 - ZONA AGRICOLA';D1;AL00000137;1;Ville e Villini;N;1;
NORD-OVEST;PIEMONTE;AL;1006006;A2AF; ;A211;ALLUVIONI CAMBIO`;R;'ZONA AGRICOLA';R1;AL00004161;102;Seminativo Irriguo;;1;
NORD-OVEST;PIEMONTE;AL;1006007;A2AG; ;A227;ALTAVILLA MONFERRATO;B;'MICROZONA N. 1 - CENTRO URBANO';B1;AL00003677;20;Abitazioni civili;N;1;
